id,archetype,age,gender,location,urban_rural,education,income_band,trust_govt,trust_media,trust_academia,trust_local,trust_social_media,trust_influencers,trust_religious_leaders,youtube_usage,whatsapp_usage,newspaper_usage,tv_news_usage,regional_media_exposure,english_media_exposure,political_interest,economic_optimism,traditionalism
855,Startup Founder,26,Male,"Pune, Maharashtra",Urban,Graduate,₹20L-50L,4,4,6,5,7,6,3,7,7,5,4,3,10,5,9,4
856,Startup Founder,45,Male,Delhi,Urban,Graduate,₹20L-50L,4,4,6,4,6,6,3,7,7,6,4,4,10,5,8,3
857,Rural Farmer,46,Male,"Kolar district, Karnataka",Rural,Secondary,₹2.5L-5L,5,4,3,7,4,4,8,4,5,4,6,9,3,5,4,8
858,Startup Founder,37,Male,"Hyderabad, Telangana",Urban,Postgraduate,₹20L-50L,4,4,7,5,6,6,3,7,7,5,3,3,10,6,10,3
859,Corporate Employee,25,Female,"Bhopal, Madhya Pradesh",Urban,Postgraduate,₹10L-20L,5,5,6,4,6,5,5,6,8,4,5,5,8,6,6,5
860,Small Business Owner,35,Male,"Hubli, Karnataka",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,3,7,4,4,6,5,8,6,6,7,4,5,6,6
861,Startup Founder,36,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,Above ₹50L,5,3,6,5,7,6,2,7,7,5,4,3,9,5,9,3
862,Rural Farmer,34,Female,"Bhagalpur rural, Bihar",Rural,Secondary,₹2.5L-5L,5,3,4,8,3,3,9,4,6,5,6,8,2,6,6,8
863,Urban Student,22,Female,"Bhubaneswar, Odisha",Urban,Undergraduate,Below ₹2.5L,6,4,8,6,7,7,4,9,7,3,2,4,9,4,7,3
864,Small Business Owner,36,Female,"Nellore, Andhra Pradesh",Semi-Urban,Undergraduate,₹10L-20L,5,5,4,9,5,4,5,5,8,6,6,7,4,5,6,6
865,Small Business Owner,53,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Higher Secondary,₹10L-20L,4,5,4,8,5,5,6,5,8,6,6,8,4,5,5,6
866,Startup Founder,39,Male,"Pune, Maharashtra",Urban,Graduate,₹20L-50L,5,4,6,6,7,6,3,7,7,5,4,4,10,5,8,3
867,Regional Language Aspirant,34,Male,"Madurai, Tamil Nadu",Semi-Urban,Graduate,₹5L-10L,5,5,8,7,5,4,6,7,7,7,6,9,3,9,5,7
868,Corporate Employee,31,Female,"Indore, Madhya Pradesh",Urban,Undergraduate,₹10L-20L,5,5,6,4,6,5,6,6,7,5,5,5,8,5,7,5
869,Startup Founder,44,Male,"Gurugram, Haryana",Urban,Doctorate,Above ₹50L,4,4,6,4,7,6,3,7,7,5,4,3,10,5,9,3
870,Corporate Employee,45,Male,"Noida, Uttar Pradesh",Urban,Undergraduate,₹5L-10L,5,5,6,5,6,6,4,6,8,5,5,4,9,5,6,5
871,Retired Government Officer,60,Female,"Tirupati, Andhra Pradesh",Semi-Urban,Graduate,₹20L-50L,8,6,7,6,2,2,8,3,4,8,8,6,7,8,6,7
872,Regional Language Aspirant,22,Female,"Anantapur district, Andhra Pradesh",Rural,Undergraduate,₹2.5L-5L,6,5,8,7,5,5,6,6,7,7,6,8,3,8,5,7
873,Urban Student,17,Female,"Pune, Maharashtra",Urban,Postgraduate,₹5L-10L,5,5,8,6,7,6,3,8,7,3,3,3,9,4,7,2
874,Urban Student,23,Male,"Mumbai, Maharashtra",Urban,Undergraduate,Below ₹2.5L,5,5,8,7,6,7,2,8,7,3,3,4,9,4,7,3
875,Retired Government Officer,65,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,₹5L-10L,8,5,7,7,3,1,6,4,5,8,7,6,7,8,6,8
876,Regional Language Aspirant,34,Female,"Rajahmundry, Andhra Pradesh",Semi-Urban,Postgraduate,₹5L-10L,5,5,8,8,5,4,6,7,7,7,7,9,3,8,6,7
877,Retired Government Officer,71,Male,"Mumbai, Maharashtra",Urban,Postgraduate,₹10L-20L,8,6,7,8,3,1,6,3,5,9,8,6,7,8,6,6
878,Corporate Employee,32,Female,"Bhubaneswar, Odisha",Urban,Postgraduate,₹20L-50L,4,5,6,5,6,4,4,5,7,5,5,4,9,5,6,6
879,Corporate Employee,28,Female,"Guwahati, Assam",Urban,Undergraduate,₹10L-20L,5,5,6,4,5,6,4,6,7,5,5,5,8,5,6,5
880,Homemaker,58,Female,"Lucknow, Uttar Pradesh",Urban,Higher Secondary,₹5L-10L,4,6,4,8,6,5,7,5,9,4,7,8,4,4,5,7
881,Corporate Employee,31,Male,"Bangalore, Karnataka",Urban,Postgraduate,₹10L-20L,5,5,6,4,6,5,4,6,7,6,5,5,8,6,5,5
882,Startup Founder,36,Male,"Pune, Maharashtra",Urban,Postgraduate,Above ₹50L,4,4,6,5,7,7,3,8,7,5,4,3,10,5,9,3
883,Regional Language Aspirant,32,Female,"Sundargarh district, Odisha",Rural,Postgraduate,₹5L-10L,5,6,8,7,5,3,6,6,7,7,6,9,3,8,5,7
884,Rural Farmer,51,Male,"Kolar district, Karnataka",Rural,Illiterate,Below ₹2.5L,5,4,4,8,4,3,8,4,7,3,6,9,1,6,5,8
885,Regional Language Aspirant,29,Female,"Murshidabad district, West Bengal",Rural,Graduate,₹2.5L-5L,5,5,8,8,5,4,6,6,7,7,6,9,3,9,5,7
886,Retired Government Officer,76,Female,"Vadodara, Gujarat",Urban,Graduate,₹10L-20L,8,6,7,6,3,2,6,4,5,8,8,6,7,8,6,7
887,Rural Farmer,65,Male,"Sangli district, Maharashtra",Rural,Primary,₹2.5L-5L,5,4,4,8,4,3,7,4,6,4,6,9,2,6,5,8
888,Startup Founder,27,Male,"Gurugram, Haryana",Urban,Graduate,₹10L-20L,5,5,6,4,8,6,3,7,8,4,4,3,9,5,9,4
889,Rural Farmer,50,Female,"Ratnagiri district, Maharashtra",Rural,Primary,₹5L-10L,4,4,3,8,4,3,8,3,6,4,6,9,2,7,6,8
890,Retired Government Officer,71,Male,"Thiruvananthapuram, Kerala",Urban,Doctorate,₹5L-10L,9,6,6,7,4,2,7,3,5,8,8,6,7,8,6,7
891,Small Business Owner,31,Male,"Bhopal, Madhya Pradesh",Urban,Secondary,₹2.5L-5L,5,6,4,8,5,4,6,4,8,6,6,7,5,5,6,6
892,Startup Founder,41,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,₹10L-20L,3,3,6,5,6,6,3,6,7,5,4,3,10,5,9,3
893,Corporate Employee,40,Female,"Nagpur, Maharashtra",Urban,Postgraduate,₹5L-10L,5,6,6,5,7,5,4,6,6,4,5,5,8,5,6,5
894,Regional Language Aspirant,24,Male,"Bastar district, Chhattisgarh",Rural,Undergraduate,₹5L-10L,5,5,8,8,5,4,7,6,8,6,6,9,4,7,5,7
895,Rural Farmer,47,Male,"Murshidabad district, West Bengal",Rural,Secondary,Below ₹2.5L,5,4,3,9,4,2,7,4,6,4,6,9,2,6,5,8
896,Homemaker,34,Female,"Hubli, Karnataka",Semi-Urban,Higher Secondary,₹2.5L-5L,5,6,4,8,6,5,6,6,10,5,8,7,4,3,5,8
897,Rural Farmer,35,Male,"Karimnagar district, Telangana",Rural,Secondary,₹2.5L-5L,5,4,3,8,5,3,8,4,6,4,6,9,2,6,6,8
898,Retired Government Officer,65,Female,"Patna, Bihar",Urban,Doctorate,₹10L-20L,8,6,7,7,3,2,8,3,5,8,8,6,7,8,5,7
899,Corporate Employee,37,Female,"Ahmedabad, Gujarat",Urban,Graduate,₹20L-50L,5,5,7,5,6,5,3,6,7,4,5,4,8,4,6,5
900,Regional Language Aspirant,18,Female,"Bastar district, Chhattisgarh",Rural,Graduate,Below ₹2.5L,5,5,8,7,5,4,6,6,6,7,6,10,3,8,4,6
901,Small Business Owner,45,Male,"Visakhapatnam, Andhra Pradesh",Urban,Undergraduate,₹10L-20L,5,5,4,8,5,3,7,4,9,6,7,7,4,4,6,5
902,Urban Student,22,Male,Chandigarh,Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,4,9,7,3,3,3,9,6,6,3
903,Retired Government Officer,78,Male,"Noida, Uttar Pradesh",Urban,Postgraduate,₹5L-10L,8,6,7,7,3,2,7,2,5,8,8,6,7,8,6,6
904,Small Business Owner,53,Male,"Amravati, Maharashtra",Semi-Urban,Secondary,₹2.5L-5L,5,5,4,8,5,4,5,5,8,6,6,7,4,6,5,6
905,Rural Farmer,35,Male,"Ratnagiri district, Maharashtra",Rural,Secondary,₹2.5L-5L,4,4,3,8,4,3,8,5,6,5,7,9,2,6,4,8
906,Retired Government Officer,65,Male,"Hubli, Karnataka",Semi-Urban,Graduate,₹10L-20L,8,6,8,6,3,3,6,3,5,8,9,6,7,9,7,6
907,Homemaker,49,Female,"Surat, Gujarat",Urban,Primary,Below ₹2.5L,6,6,5,8,6,5,7,6,9,4,7,7,3,5,6,6
908,Startup Founder,45,Female,"Bangalore, Karnataka",Urban,Graduate,₹10L-20L,4,3,7,5,7,6,3,7,8,5,4,3,10,6,8,3
909,Homemaker,37,Male,"Bilaspur, Chhattisgarh",Semi-Urban,Higher Secondary,₹2.5L-5L,5,5,4,7,5,5,7,5,9,4,7,6,3,4,4,7
910,Startup Founder,32,Female,"Noida, Uttar Pradesh",Urban,Doctorate,Above ₹50L,3,5,5,4,7,6,2,7,7,5,4,3,9,5,10,3
911,Startup Founder,38,Male,"Gurugram, Haryana",Urban,Graduate,₹20L-50L,4,4,5,5,8,6,3,7,7,5,3,2,9,5,8,3
912,Homemaker,57,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Secondary,Below ₹2.5L,4,6,4,8,7,5,7,6,9,4,7,7,5,4,5,7
913,Startup Founder,30,Male,"Gurugram, Haryana",Urban,Postgraduate,₹10L-20L,5,4,6,5,7,5,3,7,7,5,5,3,9,5,9,3
914,Regional Language Aspirant,21,Female,"Amravati, Maharashtra",Semi-Urban,Graduate,Below ₹2.5L,5,6,8,7,5,4,5,6,6,7,7,9,4,8,5,7
915,Retired Government Officer,68,Female,"Nellore, Andhra Pradesh",Semi-Urban,Postgraduate,₹5L-10L,8,6,7,8,3,2,7,3,5,8,8,6,7,8,6,8
916,Homemaker,32,Female,"Anantapur district, Andhra Pradesh",Rural,Undergraduate,₹2.5L-5L,5,4,4,8,6,5,7,5,9,4,7,8,3,5,5,6
917,Small Business Owner,40,Male,"Coimbatore, Tamil Nadu",Urban,Secondary,₹2.5L-5L,5,5,4,8,5,4,6,5,8,6,7,7,4,5,6,6
918,Rural Farmer,49,Female,"Sundargarh district, Odisha",Rural,Secondary,Below ₹2.5L,5,4,3,8,4,4,9,4,6,4,7,9,2,6,5,8
919,Homemaker,54,Female,"Bhopal, Madhya Pradesh",Urban,Secondary,Below ₹2.5L,5,4,4,8,6,5,7,5,8,4,7,7,3,5,6,7
920,Urban Student,24,Female,"Nagpur, Maharashtra",Urban,Postgraduate,Below ₹2.5L,6,5,8,6,8,8,4,8,7,3,4,3,9,5,7,2
921,Corporate Employee,25,Female,"Kolkata, West Bengal",Urban,Graduate,₹20L-50L,4,4,7,5,6,5,4,6,7,6,5,5,8,5,7,5
922,Startup Founder,45,Female,"Chennai, Tamil Nadu",Urban,Postgraduate,₹20L-50L,4,3,5,4,7,7,3,7,7,6,3,3,10,6,9,3
923,Regional Language Aspirant,32,Male,"Kolhapur, Maharashtra",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,8,7,5,4,6,6,7,7,5,9,3,9,6,7
924,Regional Language Aspirant,31,Female,"Hubli, Karnataka",Semi-Urban,Postgraduate,₹5L-10L,5,5,8,7,5,4,6,6,7,7,6,9,3,8,4,7
925,Startup Founder,39,Female,"Chennai, Tamil Nadu",Urban,Postgraduate,Above ₹50L,4,4,5,5,7,5,2,7,7,5,4,3,9,4,9,4
926,Startup Founder,37,Female,"Hyderabad, Telangana",Urban,Postgraduate,₹20L-50L,4,4,6,5,7,5,3,7,7,4,4,3,9,5,8,3
927,Small Business Owner,60,Female,"Jhansi, Uttar Pradesh",Semi-Urban,Graduate,₹5L-10L,5,6,4,8,6,4,7,6,8,6,7,6,4,5,5,6
928,Rural Farmer,31,Male,"Bikaner rural, Rajasthan",Rural,Secondary,Below ₹2.5L,5,4,3,7,4,3,7,4,6,4,6,9,2,5,5,8
929,Startup Founder,26,Male,"Noida, Uttar Pradesh",Urban,Graduate,₹10L-20L,4,4,6,5,6,6,3,7,7,5,5,3,9,6,10,4
930,Retired Government Officer,63,Male,"Kolkata, West Bengal",Urban,Graduate,₹20L-50L,8,6,7,7,3,2,8,2,5,8,8,7,7,8,5,7
931,Corporate Employee,47,Male,"Surat, Gujarat",Urban,Postgraduate,₹5L-10L,5,5,6,6,6,5,4,7,7,4,4,4,8,5,6,5
932,Small Business Owner,51,Male,"Lucknow, Uttar Pradesh",Urban,Undergraduate,₹5L-10L,5,5,4,8,4,4,5,6,7,7,6,7,3,4,6,6
933,Corporate Employee,48,Female,"Kochi, Kerala",Urban,Postgraduate,₹20L-50L,6,4,7,5,6,5,5,6,7,5,5,6,8,6,6,4
934,Regional Language Aspirant,30,Male,"Hubli, Karnataka",Semi-Urban,Postgraduate,₹5L-10L,5,5,7,7,5,3,6,6,7,7,6,9,3,7,5,7
935,Homemaker,54,Female,"Dhar district, Madhya Pradesh",Rural,Primary,₹2.5L-5L,5,5,4,8,6,5,7,5,9,4,7,7,3,5,6,6
936,Regional Language Aspirant,29,Male,"Erode, Tamil Nadu",Semi-Urban,Undergraduate,Below ₹2.5L,5,6,8,6,5,5,7,6,7,7,7,8,3,9,5,8
937,Retired Government Officer,70,Male,"Vadodara, Gujarat",Urban,Postgraduate,₹10L-20L,8,6,7,7,3,1,7,4,5,8,7,6,6,7,6,7
938,Corporate Employee,37,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,₹20L-50L,5,5,7,5,6,5,4,6,7,5,5,5,8,4,6,6
939,Startup Founder,31,Male,"Noida, Uttar Pradesh",Urban,Doctorate,Above ₹50L,4,3,6,5,7,6,4,7,7,4,4,3,9,5,9,2
940,Corporate Employee,26,Female,"Visakhapatnam, Andhra Pradesh",Urban,Graduate,₹20L-50L,5,5,6,4,6,5,5,6,7,5,5,6,8,5,7,5
941,Corporate Employee,26,Female,"Kochi, Kerala",Urban,Graduate,₹5L-10L,5,5,6,5,6,5,5,6,7,5,5,4,8,5,6,5
942,Retired Government Officer,78,Male,"Bhopal, Madhya Pradesh",Urban,Postgraduate,₹5L-10L,8,7,7,7,3,2,6,3,5,7,8,6,7,8,6,6
943,Retired Government Officer,61,Female,"Nellore, Andhra Pradesh",Semi-Urban,Graduate,₹10L-20L,8,6,8,7,3,2,6,3,5,8,7,6,7,8,6,7
944,Urban Student,20,Male,"Bangalore, Karnataka",Urban,Postgraduate,₹2.5L-5L,5,5,8,6,7,6,4,9,7,3,3,4,10,5,7,3
945,Urban Student,23,Female,"Pune, Maharashtra",Urban,Undergraduate,Below ₹2.5L,5,5,8,7,7,7,4,8,8,3,3,3,8,4,6,3
946,Regional Language Aspirant,32,Male,"Siliguri, West Bengal",Semi-Urban,Graduate,₹2.5L-5L,5,4,8,8,6,4,6,7,6,7,6,9,3,8,6,6
947,Small Business Owner,58,Female,"Siliguri, West Bengal",Semi-Urban,Secondary,₹5L-10L,4,5,4,7,5,4,6,5,8,7,7,7,4,5,6,6
948,Regional Language Aspirant,19,Female,"Ujjain, Madhya Pradesh",Semi-Urban,Graduate,₹5L-10L,6,4,8,6,5,5,6,5,7,7,7,9,3,8,5,7
949,Rural Farmer,32,Female,"Sundargarh district, Odisha",Rural,Illiterate,Below ₹2.5L,5,4,3,8,4,3,7,4,6,4,6,9,1,5,5,8
950,Startup Founder,27,Male,"Mumbai, Maharashtra",Urban,Graduate,₹20L-50L,4,3,6,5,7,6,3,8,8,5,4,3,9,5,8,3
951,Urban Student,23,Male,"Vadodara, Gujarat",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,7,4,9,7,4,3,4,10,4,7,3
952,Startup Founder,32,Male,"Gurugram, Haryana",Urban,Postgraduate,₹10L-20L,4,4,6,5,7,6,3,7,7,5,4,3,9,5,9,3
953,Urban Student,18,Female,"Ahmedabad, Gujarat",Urban,Higher Secondary,Below ₹2.5L,5,6,7,6,7,7,4,10,7,3,3,4,8,4,7,3
954,Startup Founder,45,Female,"Gurugram, Haryana",Urban,Graduate,₹10L-20L,4,4,6,4,6,6,3,8,7,5,4,2,10,5,9,3
955,Retired Government Officer,62,Male,"Chennai, Tamil Nadu",Urban,Graduate,₹10L-20L,9,6,7,7,3,3,6,2,5,8,8,6,6,8,6,7
956,Corporate Employee,28,Female,"Patna, Bihar",Urban,Undergraduate,₹20L-50L,5,5,5,5,7,5,4,6,7,5,6,4,7,5,6,5
957,Startup Founder,39,Male,"Gurugram, Haryana",Urban,Doctorate,₹10L-20L,4,3,7,5,7,7,4,7,7,5,4,3,9,5,8,3
958,Small Business Owner,56,Male,"Davangere, Karnataka",Semi-Urban,Secondary,₹2.5L-5L,5,5,3,8,4,4,5,4,8,6,6,8,4,5,6,6
959,Homemaker,30,Female,"Ahmedabad, Gujarat",Urban,Secondary,₹2.5L-5L,5,5,4,8,6,5,7,4,9,3,7,7,3,5,5,7
960,Regional Language Aspirant,21,Male,"Bikaner rural, Rajasthan",Rural,Postgraduate,₹2.5L-5L,6,5,8,7,5,4,6,6,7,7,6,9,3,8,6,7
961,Urban Student,24,Female,"Bhubaneswar, Odisha",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,3,8,7,3,3,4,9,4,8,3
962,Startup Founder,28,Male,"Bangalore, Karnataka",Urban,Postgraduate,Above ₹50L,4,4,6,5,7,6,3,6,7,5,4,3,10,5,9,3
963,Regional Language Aspirant,22,Other,"Sitamarhi district, Bihar",Rural,Graduate,Below ₹2.5L,5,6,8,7,5,4,6,6,7,7,6,9,2,8,6,7
964,Urban Student,21,Male,"Thiruvananthapuram, Kerala",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,4,9,6,2,4,4,10,5,8,3
965,Retired Government Officer,71,Male,"Pune, Maharashtra",Urban,Postgraduate,₹20L-50L,8,5,8,7,3,2,6,3,5,8,8,6,7,8,6,7
966,Retired Government Officer,65,Male,"Jamshedpur, Jharkhand",Semi-Urban,Postgraduate,₹10L-20L,8,6,6,7,3,2,7,3,5,8,7,6,7,8,5,7
967,Urban Student,17,Female,"Bhubaneswar, Odisha",Urban,Undergraduate,₹2.5L-5L,5,6,8,5,7,8,3,9,7,3,3,5,9,4,7,3
968,Retired Government Officer,76,Male,"Lucknow, Uttar Pradesh",Urban,Doctorate,₹10L-20L,9,6,6,7,3,2,7,3,5,8,8,6,7,7,6,7
969,Urban Student,16,Female,"Kochi, Kerala",Urban,Postgraduate,Below ₹2.5L,4,5,8,6,7,7,3,9,7,4,3,3,9,4,7,3
970,Homemaker,49,Male,"Jamshedpur, Jharkhand",Semi-Urban,Graduate,Below ₹2.5L,6,5,4,8,6,5,7,4,9,4,8,7,4,5,6,7
971,Regional Language Aspirant,24,Male,"Guntur, Andhra Pradesh",Semi-Urban,Graduate,₹2.5L-5L,5,5,8,8,5,4,6,6,7,8,6,9,3,9,5,7
972,Urban Student,24,Female,"Jaipur, Rajasthan",Urban,Postgraduate,₹5L-10L,6,5,8,6,7,7,4,8,7,2,3,4,9,3,7,3
973,Startup Founder,28,Male,"Pune, Maharashtra",Urban,Graduate,Above ₹50L,3,3,7,4,7,6,3,8,7,5,4,3,10,4,9,3
974,Retired Government Officer,61,Male,"Nagpur, Maharashtra",Urban,Graduate,₹5L-10L,8,5,7,6,3,3,7,3,5,7,8,6,7,8,6,7
975,Retired Government Officer,66,Female,"Mumbai, Maharashtra",Urban,Graduate,₹10L-20L,8,6,7,8,3,3,7,3,5,8,8,6,7,8,6,8
976,Urban Student,21,Female,"Jaipur, Rajasthan",Urban,Undergraduate,₹2.5L-5L,4,5,8,5,7,7,3,9,7,3,3,4,9,6,6,3
977,Rural Farmer,57,Female,"Kannur rural, Kerala",Rural,Secondary,Below ₹2.5L,5,4,3,8,5,2,7,4,7,4,7,9,2,6,5,8
978,Startup Founder,37,Female,"Pune, Maharashtra",Urban,Postgraduate,₹20L-50L,4,4,7,5,7,7,3,7,7,4,5,3,9,4,8,3
979,Corporate Employee,37,Female,"Chennai, Tamil Nadu",Urban,Postgraduate,₹5L-10L,4,5,6,4,6,5,5,7,7,4,5,5,8,5,6,6
980,Small Business Owner,32,Male,"Madurai, Tamil Nadu",Semi-Urban,Higher Secondary,₹5L-10L,5,5,3,8,4,3,6,5,8,7,6,6,4,6,6,6
981,Startup Founder,42,Female,"Noida, Uttar Pradesh",Urban,Postgraduate,Above ₹50L,4,4,5,5,7,6,2,7,7,4,5,3,9,5,9,3
982,Rural Farmer,35,Male,"Sitamarhi district, Bihar",Rural,Primary,₹2.5L-5L,6,4,3,8,4,3,8,4,6,4,6,9,2,6,5,8
983,Corporate Employee,44,Female,"Lucknow, Uttar Pradesh",Urban,Postgraduate,₹20L-50L,6,6,6,6,6,5,5,7,8,5,6,5,8,5,6,6
984,Retired Government Officer,68,Female,"Guwahati, Assam",Urban,Postgraduate,₹20L-50L,8,6,8,7,3,2,6,3,4,8,8,6,7,8,6,8
985,Homemaker,33,Female,"Gurugram, Haryana",Urban,Secondary,Below ₹2.5L,6,5,5,8,7,5,8,5,8,4,7,7,4,4,5,6
986,Homemaker,40,Male,"Pune, Maharashtra",Urban,Higher Secondary,₹10L-20L,5,5,5,8,6,5,7,6,9,4,7,7,3,4,5,8
987,Regional Language Aspirant,23,Female,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,Below ₹2.5L,5,5,8,7,5,4,7,6,7,6,6,8,4,8,5,7
988,Homemaker,42,Female,"Guntur, Andhra Pradesh",Semi-Urban,Secondary,₹2.5L-5L,5,6,3,8,6,5,8,6,9,4,7,7,3,5,5,7
989,Startup Founder,35,Female,"Bangalore, Karnataka",Urban,Postgraduate,₹20L-50L,4,4,7,5,7,5,3,7,7,5,5,4,9,5,9,3
990,Small Business Owner,50,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Secondary,₹5L-10L,5,5,4,9,5,5,6,5,8,7,5,7,4,5,7,6
991,Small Business Owner,38,Male,"Lucknow, Uttar Pradesh",Urban,Undergraduate,₹5L-10L,5,5,4,8,5,4,5,5,8,6,6,7,4,7,5,7
992,Small Business Owner,35,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Graduate,₹2.5L-5L,5,5,4,8,5,4,6,5,8,6,6,7,4,6,6,6
993,Regional Language Aspirant,28,Male,"Bikaner rural, Rajasthan",Rural,Graduate,Below ₹2.5L,5,4,8,8,4,4,6,7,7,7,6,10,2,8,5,7
994,Corporate Employee,32,Female,"Kolkata, West Bengal",Urban,Graduate,₹5L-10L,5,5,7,5,7,5,5,6,7,5,5,6,8,4,5,5
995,Rural Farmer,59,Male,"Bhagalpur rural, Bihar",Rural,Illiterate,Below ₹2.5L,6,3,3,8,5,3,8,5,5,4,7,10,2,6,5,9
996,Startup Founder,28,Female,"Chennai, Tamil Nadu",Urban,Graduate,₹10L-20L,3,4,6,4,7,6,2,7,7,5,4,3,9,5,8,4
997,Homemaker,39,Female,"Jhansi, Uttar Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,6,4,3,8,6,5,7,5,8,3,7,7,3,4,5,7
998,Urban Student,21,Female,"Chennai, Tamil Nadu",Urban,Undergraduate,₹2.5L-5L,5,5,8,6,7,7,3,9,6,3,3,4,9,5,7,3
999,Regional Language Aspirant,18,Male,"Erode, Tamil Nadu",Semi-Urban,Undergraduate,₹5L-10L,5,5,8,7,5,4,6,6,7,7,6,9,4,7,5,7
1000,Rural Farmer,45,Male,"Murshidabad district, West Bengal",Rural,Primary,Below ₹2.5L,5,5,3,8,4,3,7,4,5,4,5,10,2,5,5,8
